frame,id,x,y,image_index,map,seed
0,0,120,239,0,open,1000
0,1,263,145,0,open,1000
0,2,239,144,0,open,1000
0,3,168,217,0,open,1000
0,4,167,215,0,open,1000
0,5,264,145,0,open,1000
0,6,265,144,0,open,1000
0,7,239,168,0,open,1000
0,8,289,264,0,open,1000
0,9,168,287,0,open,1000
0,10,120,193,0,open,1000
0,11,121,97,0,open,1000
0,12,96,193,0,open,1000
0,13,288,121,0,open,1000
0,14,192,241,0,open,1000
0,15,168,169,0,open,1000
0,16,263,121,0,open,1000
0,17,264,217,0,open,1000
0,18,191,264,0,open,1000
0,19,96,97,0,open,1000
0,20,457,505,0,open,1000
0,21,432,553,0,open,1000
0,22,481,625,0,open,1000
0,23,553,551,0,open,1000
0,24,600,505,0,open,1000
0,25,577,455,0,open,1000
0,26,505,527,0,open,1000
0,27,577,551,0,open,1000
0,28,481,456,0,open,1000
0,29,599,576,0,open,1000
0,30,431,529,0,open,1000
0,31,433,432,0,open,1000
0,32,505,455,0,open,1000
0,33,479,457,0,open,1000
0,34,625,528,0,open,1000
0,35,625,552,0,open,1000
0,36,505,433,0,open,1000
0,37,553,481,0,open,1000
0,38,529,505,0,open,1000
0,39,432,433,0,open,1000
1,0,121,237,0,open,1000
1,1,262,146,0,open,1000
1,2,237,143,0,open,1000
1,3,169,219,0,open,1000
1,4,166,213,0,open,1000
1,5,265,147,0,open,1000
1,6,267,145,0,open,1000
1,7,237,169,0,open,1000
1,8,291,265,0,open,1000
1,9,167,285,0,open,1000
1,10,121,195,0,open,1000
1,11,122,99,0,open,1000
1,12,95,195,0,open,1000
1,13,287,123,0,open,1000
1,14,193,243,0,open,1000
1,15,167,171,0,open,1000
1,16,262,122,0,open,1000
1,17,263,219,0,open,1000
1,18,189,265,0,open,1000
1,19,95,99,0,open,1000
1,20,458,506,0,open,1000
1,21,431,555,0,open,1000
1,22,482,626,0,open,1000
1,23,554,550,0,open,1000
1,24,599,507,0,open,1000
1,25,578,454,0,open,1000
1,26,506,526,0,open,1000
1,27,579,551,0,open,1000
1,28,483,456,0,open,1000
1,29,597,576,0,open,1000
1,30,430,530,0,open,1000
1,31,435,431,0,open,1000
1,32,506,454,0,open,1000
1,33,478,458,0,open,1000
1,34,627,529,0,open,1000
1,35,627,552,0,open,1000
1,36,506,434,0,open,1000
1,37,554,483,0,open,1000
1,38,531,506,0,open,1000
1,39,432,435,0,open,1000
2,0,121,235,0,open,1000
2,1,261,148,0,open,1000
2,2,235,143,0,open,1000
2,3,169,221,0,open,1000
2,4,165,212,0,open,1000
2,5,265,149,0,open,1000
